GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,369,Bridgeport LF,CT,South Avenue,Bridgeport,Fairfield,,41.156309,-73.210176,Public,Bridgeport,,1985,Closed,,,No,,,433-0,Low Potential,,,,Unknown,Unknown,,,,,,
,355,Bristol LF,CT,,Bristol,Hartford,,,,Public,Bristol,1984,1997,Closed,"65,000",,No,,,419-0,Low Potential,,,,Unknown,Unknown,,,,,,
,370,Canterbury LF,CT,133 Packer Road,Canterbury,Windham,06331,41.657,-71.9604,Private,"Yaworski, Inc.",1990,1995,Closed,"546,000",,Yes,,,434-0,Low Potential,,,,Unknown,Unknown,,,,,,
,371,East Hartford LF,CT,25 Ecology Drive,East Hartford,Hartford,06108,41.7705,-72.63,Public,"Town of East Hartford, CT",,1986,Closed,,,No,,,435-0,Low Potential,,,,Unknown,Unknown,,,,,,
,363,East Windsor LF,CT,Wapping Road,Broad Brook,Hartford,06016,41.8689,-72.5645,Private,Manchester Methane,1976,1999,Closed,"837,000",,Yes,0.361584,,427-0,Operational,Project #1,5/1/2007,,Electricity,Reciprocating Engine,,3.2,3.2,,0.1446,0.0168
,357,Ellington LF,CT,"Sadds Mill Road
Route 140",Ellington,Tolland,06029,41.9225,-72.5031,Public,Connecticut Department of Energy & Environmental Protection,,1991,Closed,,,Yes,0.354,0.354,421-0,Low Potential,,,,Unknown,Unknown,,,,,,
,358,Groton LF,CT,Wells Street,Groton,New London,06340,41.3703,-72.0793,Public,"Town of Groton Department of Public Works, CT",1963,1994,Closed,"2,000,000",,Yes,0.324,0.324,422-0,Shutdown,Project #1,7/15/1996,11/1/2000,Electricity,Fuel Cell,,0.14,0.2,0.25,,
,378,Hampton LF,CT,,Manchester,Hartford,,,,Unknown,,,1994,Closed,,,No,,,442-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002796,359,Hartford LF,CT,180 Leibert Road,Hartford,Hartford,06120,41.7901,-72.6514,Public,Connecticut Department of Energy & Environmental Protection,1940,2008,Closed,"6,000,000",2008,Yes,0.818,,423-0,Shutdown,Project #1,1/1/1998,10/31/2008,Electricity,Reciprocating Engine,,2.7,,1.3,,
1002796,359,Hartford LF,CT,180 Leibert Road,Hartford,Hartford,06120,41.7901,-72.6514,Public,Connecticut Department of Energy & Environmental Protection,1940,2008,Closed,"6,000,000",2008,Yes,0.818,,423-1,Shutdown,"Project #1, De-Expansion #1",1/1/2009,7/1/2018,Electricity,Reciprocating Engine,,1.9,,0.684,,
