GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,166401-0,Shutdown,Project #1,1/1/1995,12/31/2012,Electricity,Steam Turbine,,4.5,,2.5,,
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,166401-1,Shutdown,"Project #1, Expansion #1",1/1/2004,12/31/2012,Electricity,Steam Turbine,,7,,3.9,,
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,166401-2,Shutdown,"Project #1, Expansion #2",1/1/2010,12/31/2012,Electricity,Steam Turbine,,1.4,,0.8,,
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,181101-0,Operational,Project #2,1/1/2013,,Electricity,Cogeneration,,2.2,2.2,2.45,0.0994,0.0115
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,181101-1,Planned,"Project #2, Expansion #1",6/30/2020,,Electricity,Cogeneration,,2,2,,0.0000,0.0000
1002010,1829,Cherry Island Landfill,DE,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,Public,Delaware Solid Waste Authority,1985,2060,Open,"16,273,155",2019,Yes,4.375,0.576,200448-0,Operational,Project #3,7/31/2016,,Electricity,Cogeneration,,2.5,4,1.15,0.1130,0.0131
1002183,1832,Jones Crossroads Landfill,DE,28560 Landfill Lane,Georgetown,Sussex,19947,38.596,-75.439,Public,Delaware Solid Waste Authority,1984,2029,Open,"6,812,180",2019,Yes,3.16,,166404-0,Operational,Project #1,10/24/2006,,Electricity,Reciprocating Engine,,3.29,4.24,1.8,0.1486,0.0172
1002183,1832,Jones Crossroads Landfill,DE,28560 Landfill Lane,Georgetown,Sussex,19947,38.596,-75.439,Public,Delaware Solid Waste Authority,1984,2029,Open,"6,812,180",2019,Yes,3.16,,166404-1,Operational,"Project #1, Expansion #1",2/1/2010,,Electricity,Reciprocating Engine,,0.2,1.06,0.13,0.0090,0.0011
1004897,1830,Pigeon Point Landfill,DE,1101 Lambson Lane,New Castle,New Castle,19720,39.7054,-75.5326,Public,"City of Wilmington, DE; Delaware Solid Waste Authority",1966,1985,Closed,"4,547,062",1985,No,,,167135-0,Shutdown,Project #1,8/1/2000,12/1/2001,Direct,Condensate Evaporation,,,,0.576,,
1002182,1831,Sandtown Landfill,DE,1107 Willow Grove Road,Felton,Kent,19943,39.0327,-75.7251,Public,Delaware Solid Waste Authority,1980,2036,Open,"6,197,517",2019,Yes,2.84,,166403-0,Operational,Project #1,1/1/2007,,Electricity,Reciprocating Engine,,3.18,3.18,1.13,0.1437,0.0167
1002182,1831,Sandtown Landfill,DE,1107 Willow Grove Road,Felton,Kent,19943,39.0327,-75.7251,Public,Delaware Solid Waste Authority,1980,2036,Open,"6,197,517",2019,Yes,2.84,,166403-1,Operational,"Project #1, Expansion #1",3/13/2014,,Electricity,Reciprocating Engine,,2,2,0.75,0.0904,0.0105
