GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,1833,Acushnet LF,MA,561 Main Street,Acushnet,Bristol,02743,41.707,-70.895,Public,City of Acushnet,1963,1987,Closed,"900,000",,No,,,166406-0,Low Potential,,,,Unknown,Unknown,,,,,,
,789,Amherst LF,MA,740 Belchertown Road,Amherst,Hampshire,01002,42.3712,-72.5108,Public,"Town of Amherst, MA",1982,2003,Closed,"525,096",,No,,,859-0,Low Potential,,,,Unknown,Unknown,,,,,,
,794,"Attleboro Landfill, Incorporated",MA,179 Peckham Street,Attleboro,Bristol,02703,41.94,-71.235,Private,"Attleboro Landfill, Incorporated",1975,1995,Closed,"1,000,000",,Yes,0.72,,864-0,Shutdown,Project #1,11/1/1997,12/31/2004,Electricity,Reciprocating Engine,,1,1.5,0.72,,
,794,"Attleboro Landfill, Incorporated",MA,179 Peckham Street,Attleboro,Bristol,02703,41.94,-71.235,Private,"Attleboro Landfill, Incorporated",1975,1995,Closed,"1,000,000",,Yes,0.72,,864-1,Shutdown,"Project #1, De-Expansion #1",1/1/2005,12/31/2009,Electricity,Reciprocating Engine,,0.85,1.5,,,
,794,"Attleboro Landfill, Incorporated",MA,179 Peckham Street,Attleboro,Bristol,02703,41.94,-71.235,Private,"Attleboro Landfill, Incorporated",1975,1995,Closed,"1,000,000",,Yes,0.72,,864-2,Shutdown,"Project #1, De-Expansion #2",1/1/2010,12/31/2017,Electricity,Reciprocating Engine,,0.19,1.5,,,
,2334,Barnstable LF,MA,45 Flint Street,Marstons Mills,Barnstable,02648,41.6611,-70.3911,Public,"Town of Barnstable, MA",1935,1996,Closed,"2,000,000",,Yes,,,180430-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007948,793,Bondi Island Landfill,MA,Agawam Avenue,West Springfield,Hampden,01089,42.1027,-72.5889,Public,"City of Springfield, MA",1968,2022,Open,"3,220,880",2016,Yes,0.36,0.36,181110-0,Candidate,,,,Unknown,Unknown,,,,,,
1007948,793,Bondi Island Landfill,MA,Agawam Avenue,West Springfield,Hampden,01089,42.1027,-72.5889,Public,"City of Springfield, MA",1968,2022,Open,"3,220,880",2016,Yes,0.36,0.36,863-0,Shutdown,Project #1,1/1/1994,1/1/2004,Electricity,Steam Turbine,,,,,,
1004958,774,Bourne LF,MA,201 MacArthur Boulevard Route 28,Bourne,Barnstable,02532,41.728,-70.5813,Public,"Town of Bourne, MA",1967,2024,Open,"1,000,000",2000,Yes,1.368,1.368,844-0,Candidate,,,,Unknown,Unknown,,,,,,
,1834,Braintree LF,MA,Union Street & Ivory Street,Braintree,Norfolk,02184,42.207276,-70.997994,Public,"Town of Braintree, MA",,,Closed,"1,000,000",1998,Yes,,,166407-0,Shutdown,Project #1,10/1/1999,11/1/1999,Electricity,Fuel Cell,,0.2,,,,
