GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007291,734,Alpha Ridge SLF,MD,2350 Marriottsville Road,Marriottsville,Howard,21104,39.305776,-76.898803,Public,"Howard County, MD",1980,2053,Open,"3,039,793",2019,Yes,0.363,0.08,804-0,Operational,Project #1,9/21/2012,,Electricity,Reciprocating Engine,,0.58,1.059,0.28,0.0262,0.0030
,735,Annapolis SLF,MD,Defense Highway,Annapolis,Anne Arundel,21401,38.992,-76.573,Public,,1960,1993,Closed,"858,000",,No,,,805-0,Low Potential,,,,Unknown,Unknown,,,,,,
,736,Appeal SLF,MD,,Lusby,Calvert,20657,38.381112,-76.438334,Public,"Calvert County, MD",1993,2014,Closed,"364,268",2009,Yes,,,806-0,Low Potential,,,,Unknown,Unknown,,,,,,
,737,Barstow SLF,MD,,,Calvert,,,,Public,,1975,1993,Closed,"595,000",,Yes,,,807-0,Low Potential,,,,Unknown,Unknown,,,,,,
1000331,10120,Beulah Municipal Landfill,MD,6815 East New Market Ellwood Road,Hurlock,Dorchester,21643,38.6735,-75.8994,Public,"Dorchester County, MD",1996,2024,Open,"1,169,463",2016,Yes,0.22,0.22,180835-0,Candidate,,,,Unknown,Unknown,,,,,,
,740,Bowley's Lane LF,MD,Bowley's Lane,Baltimore,Baltimore city,21206,39.3138,-76.5444,Unknown,,1955,1985,Closed,"490,000",,Yes,,,810-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"18,301,227",2019,Yes,4.81,0.396,166975-0,Shutdown,Project #2,4/20/1987,8/15/2018,Electricity,Reciprocating Engine,,2.55,2.55,1.33,0.0000,0.0000
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"18,301,227",2019,Yes,4.81,0.396,166975-1,Operational,"Project #2, Expansion #1",12/1/2003,,Electricity,Reciprocating Engine,,3.5,4.2,1.75,0.1581,0.0183
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"18,301,227",2019,Yes,4.81,0.396,811-0,Shutdown,Project #1,4/20/1987,8/15/2018,Direct,Boiler,,,,1.332,,
1004812,742,Cecil County Central Landfill,MD,758 East Old Philadelphia Road,Elkton,Cecil,21921,39.5969,-75.9136,Public,"Cecil County, MD",1978,2026,Open,"3,388,892",2019,Yes,0.802,0.802,812-0,Candidate,,,,Unknown,Unknown,,,,,,
1005295,738,Central SLF,MD,7091 Central Site Lane,Newark,Worcester,21841,38.2159,-75.3186,Public,"Worcester County, MD",1990,2038,Open,"2,340,447",2019,Yes,0.031,0.031,808-0,Shutdown,Project #1,6/1/2008,2/1/2013,Electricity,Reciprocating Engine,,2,2,1,,
,743,Centreville SLF,MD,,,Queen Anne's,,,,Unknown,,1955,1992,Closed,"700,000",,No,,,813-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005107,744,Charles County Landfill #2,MD,12305 Billingsley Road East,Waldorf,Charles,20602,38.572,-76.886,Public,"Charles County, MD",1994,2038,Open,"1,805,797",2019,No,,,814-0,Candidate,,,,Unknown,Unknown,,,,,,
1004330,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162,39.3948,-76.3964,Public,"Baltimore County, MD",1983,2028,Open,"7,029,374",2019,Yes,0.82,,815-0,Shutdown,Project #1,9/1/2006,12/31/2016,Electricity,Reciprocating Engine,,1.68,3,1.18,0.0000,0.0000
1004330,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162,39.3948,-76.3964,Public,"Baltimore County, MD",1983,2028,Open,"7,029,374",2019,Yes,0.82,,815-1,Shutdown,"Project #1, De-Expansion #1",1/1/2017,12/31/2018,Electricity,Reciprocating Engine,,0.84,3,0.65,0.0000,0.0000
1004330,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162,39.3948,-76.3964,Public,"Baltimore County, MD",1983,2028,Open,"7,029,374",2019,Yes,0.82,,815-2,Operational,"Project #1, Re-Start",1/1/2020,,Electricity,Reciprocating Engine,,3,3,1.5,0.1355,0.0157
,746,Fort Detrick SLF,MD,,Fort Detrick,Frederick,21702,39.43889,-77.422223,Public,United States Army,,,Unknown,"79,172",2009,No,,,816-0,Unknown,,,,Unknown,Unknown,,,,,,
,747,Fort Meade SLF,MD,,Fort Meade,Anne Arundel,,39.125,-76.77,Public,Landfill Owner of Fort Meade SLF,1976,1995,Closed,"1,074,376",,No,,,817-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004663,10740,Forty West SLF,MD,12630 Earth Care Road,Hagerstown,Washington,21740,39.6567,-77.82,Public,"Washington County, MD",2000,2033,Open,"1,984,703",2019,No,,,180926-0,Candidate,,,,Unknown,Unknown,,,,,,
1003378,10720,Garrett County SWD and RF,MD,3118 Oakland Sang Run Road,Oakland,Garrett,21550,39.45075,-79.40754,Public,"Garrett County, MD",1974,2040,Open,"1,314,603",2019,No,,,180925-0,Candidate,,,,Unknown,Unknown,,,,,,
1002004,20792,Glen Burnie Landfill,MD,100 Dover Road,Glen Burnie,Anne Arundel,21060,39.18718,-76.6,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1953,1982,Closed,"3,844,718",1982,No,,,201023-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003432,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850,39.107,-77.14,Public,"Montgomery County, MD",1965,1982,Closed,"4,800,000",,Yes,1.03,,180877-0,Shutdown,Project #2,7/13/2009,6/1/2017,Electricity,Reciprocating Engine,,0.8,0.848,0.5,,
1003432,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850,39.107,-77.14,Public,"Montgomery County, MD",1965,1982,Closed,"4,800,000",,Yes,1.03,,818-0,Shutdown,Project #1,1/1/1985,3/25/2006,Electricity,Reciprocating Engine,,2,3,,,
,749,Hancock SLF,MD,Hess Road,,Washington,,,,Unknown,,1967,1993,Closed,"40,963",,No,,,819-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002292,750,Harford Waste Disposal Center,MD,3241 Scarboro Road,Street,Harford,21154,39.63963,-76.30235,Public,"Harford County, MD",1960,2135,Open,"2,712,134",2019,Yes,0.156,0.156,820-0,Candidate,,,,Unknown,Unknown,,,,,,
,751,Hobbs Road SLF,MD,,,Caroline,,,,Public,"Caroline County, MD",1960,1996,Closed,"1,160,000",,No,,,821-0,Low Potential,,,,Unknown,Unknown,,,,,,
,2270,Honey-Go-Run Reclamation,MD,10710 Philadelphia Road,Perry Hall,Baltimore,21128,39.39383,-76.42418,Private,"Republic Services, Inc.",,,Open,"2,528,416",2009,No,,,180360-0,Candidate,,,,Unknown,Unknown,,,,,,
,752,Hoods Mill Road SLF,MD,7901 Kabik Court,Woodbine,Carroll,21797,39.357,-77.024,Public,"Carroll County, MD",1981,1994,Closed,"480,000",,No,,,822-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005718,753,Midshore I - Regional Solid Waste Facility,MD,7341 Barkers Landing Road,Easton,Talbot,21601,38.74714,-76.01961,Public,Maryland Environmental Service,1965,2010,Closed,"2,540,831",2010,Yes,0.364,0.364,823-0,Low Potential,,,,Unknown,Unknown,,,,,,
1011317,11902,Midshore II - Regional Solid Waste Facility,MD,12236 River Road,Ridgely,Caroline,21660,38.948,-75.8593,Public,Maryland Environmental Service,2010,2048,Open,"911,883",2019,No,,,181060-0,Future Potential,,,,Unknown,Unknown,,,,,,
1002002,754,Millersville SLF,MD,389 Burns Crossing Road,Severn,Anne Arundel,21144,39.0945,-76.6656,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1975,2048,Open,"8,454,059",2019,Yes,1.442,,824-0,Operational,Project #1,6/27/2012,,Electricity,Reciprocating Engine,,3,3.2,1.74,0.1355,0.0157
1007611,755,Mountainview SLF,MD,13300 New George's Creek Road SW,Frostburg,Allegany,21532,39.60212,-78.92121,Private,"Waste Management, Inc.",1991,2022,Open,"2,893,537",2019,Yes,0.61,0.61,825-0,Candidate,,,,Unknown,Unknown,,,,,,
1005908,20837,New Cut Landfill,MD,4361 New Cut Road,Ellicott City,Howard,21043,39.246917,-76.796769,Public,"Howard County, MD",1947,1980,Closed,,,Yes,0.12,0.12,201102-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007029,756,Newland Park SLF,MD,6948 Brick Kiln Road,Salisbury,Wicomico,21801,38.385,-75.6336,Public,"Wicomico County, MD",1960,2046,Open,"3,736,006",2019,Yes,0.934,,826-0,Operational,Project #1,4/23/2007,,Electricity,Reciprocating Engine,,1.32,3.15,0.7,0.0596,0.0069
,757,Nicholson SLF,MD,,,Kent,,38.382779,-75.631945,Public,,1964,1992,Closed,"610,000",,No,,,827-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004562,20858,Norris Farms Landfill,MD,101 Norris Lane,Baltimore,Baltimore,21222,39.288,-76.48,Private,"Republic Services, Inc.",1968,1986,Closed,"8,003,870",1986,Yes,0.589,0.589,201101-0,Low Potential,,,,Unknown,Unknown,,,,,,
1011391,758,Northern SLF,MD,1400 Baltimore Boulevard,Westminster,Carroll,21157,39.554,-76.94,Public,"Carroll County, MD",1988,2043,Open,"528,676",2009,Yes,,,828-0,Future Potential,,,,Unknown,Unknown,,,,,,
