GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1001858,2231,Atlantic County Utilities Authority Landfill,NJ,6700 Delilah Road,Egg Harbor Township,Atlantic,08234-5623,39.426,-74.54,Public,"Atlantic County Utilities Authority, NJ",1991,2027,Open,"6,950,463",2019,Yes,3.676,3.676,180315-0,Shutdown,Project #1,3/1/2005,12/31/2016,Electricity,Reciprocating Engine,,1.6,1.6,,,
1001858,2231,Atlantic County Utilities Authority Landfill,NJ,6700 Delilah Road,Egg Harbor Township,Atlantic,08234-5623,39.426,-74.54,Public,"Atlantic County Utilities Authority, NJ",1991,2027,Open,"6,950,463",2019,Yes,3.676,3.676,180315-1,Shutdown,"Project #1, Expansion #1",8/15/2006,12/31/2016,Electricity,Reciprocating Engine,,1.9,1.9,,,
1001858,2231,Atlantic County Utilities Authority Landfill,NJ,6700 Delilah Road,Egg Harbor Township,Atlantic,08234-5623,39.426,-74.54,Public,"Atlantic County Utilities Authority, NJ",1991,2027,Open,"6,950,463",2019,Yes,3.676,3.676,180315-2,Shutdown,"Project #1, Expansion #2",12/15/2007,8/23/2016,Electricity,Reciprocating Engine,,1.9,1.9,,,
1001858,2231,Atlantic County Utilities Authority Landfill,NJ,6700 Delilah Road,Egg Harbor Township,Atlantic,08234-5623,39.426,-74.54,Public,"Atlantic County Utilities Authority, NJ",1991,2027,Open,"6,950,463",2019,Yes,3.676,3.676,180315-3,Shutdown,"Project #1, De-Expansion #1",1/1/2017,5/30/2020,Electricity,Reciprocating Engine,,0.49,1.6,0.22,,
1001858,2231,Atlantic County Utilities Authority Landfill,NJ,6700 Delilah Road,Egg Harbor Township,Atlantic,08234-5623,39.426,-74.54,Public,"Atlantic County Utilities Authority, NJ",1991,2027,Open,"6,950,463",2019,Yes,3.676,3.676,180315-4,Shutdown,"Project #1, De-Expansion #2",1/1/2017,5/30/2020,Electricity,Reciprocating Engine,,0.52,,0.24,,
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,08022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"10,224,487",2019,Yes,4.37,,167008-0,Shutdown,Project #2,12/1/2002,1/1/2006,Electricity,Cogeneration,,0.12,0.12,0.0864,0.0000,0.0000
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,08022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"10,224,487",2019,Yes,4.37,,167008-1,Operational,"Project #2, Expansion #1",1/1/2008,,Electricity,Cogeneration,,0.25,0.25,0.144,0.0113,0.0013
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,08022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"10,224,487",2019,Yes,4.37,,180436-0,Shutdown,Project #4,11/1/2007,5/30/2020,Electricity,Reciprocating Engine,,4.85,7.2,2.55,,
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,08022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"10,224,487",2019,Yes,4.37,,180439-0,Operational,Project #1,1/1/1996,,Direct,Greenhouse,,,,0.216,0.0189,0.0019
1006969,940,Burlington County SLF,NJ,22000 Burlington-Columbus Road,Florence,Burlington,08022,40.076,-74.76,Public,Burlington County Board of Chosen Freeholders,1989,2027,Open,"10,224,487",2019,Yes,4.37,,180440-0,Shutdown,Project #3,10/19/2004,1/27/2005,Renewable Natural Gas,Vehicle Fuel,Local Use,,,0.14,,
