GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1004823,965,Al Turi LF,NY,73 Hartley Road,Goshen,Orange,10924,41.39763,-74.32233,Private,"Al Turi Landfill, Incorporated",1963,2003,Closed,"5,946,885",2003,Yes,0.725,,1036-0,Shutdown,Project #1,1/1/1988,12/31/1998,Electricity,Reciprocating Engine,,4,4,,0.0000,0.0000
1004823,965,Al Turi LF,NY,73 Hartley Road,Goshen,Orange,10924,41.39763,-74.32233,Private,"Al Turi Landfill, Incorporated",1963,2003,Closed,"5,946,885",2003,Yes,0.725,,1036-1,Shutdown,"Project #1, Expansion #1 & De-Expansion #1",1/1/1999,12/31/2004,Electricity,Reciprocating Engine,,3.79,4.4,2.6,0.0000,0.0000
1004823,965,Al Turi LF,NY,73 Hartley Road,Goshen,Orange,10924,41.39763,-74.32233,Private,"Al Turi Landfill, Incorporated",1963,2003,Closed,"5,946,885",2003,Yes,0.725,,1036-2,Shutdown,"Project #1, De-Expansion #2",1/1/2005,12/31/2006,Electricity,Reciprocating Engine,,1.33,2.2,1.4,0.0000,0.0000
1004823,965,Al Turi LF,NY,73 Hartley Road,Goshen,Orange,10924,41.39763,-74.32233,Private,"Al Turi Landfill, Incorporated",1963,2003,Closed,"5,946,885",2003,Yes,0.725,,1036-3,Shutdown,"Project #1, De-Expansion #3",1/1/2007,12/31/2008,Electricity,Reciprocating Engine,,0.34,0.8,0.29,0.0000,0.0000
1004823,965,Al Turi LF,NY,73 Hartley Road,Goshen,Orange,10924,41.39763,-74.32233,Private,"Al Turi Landfill, Incorporated",1963,2003,Closed,"5,946,885",2003,Yes,0.725,,1036-4,Operational,"Project #1, Re-Expansion #1",7/25/2011,,Electricity,Reciprocating Engine,,0.96,1.6,0.7,0.0434,0.0050
1006276,985,Albany Landfill,NY,525 Rapp Rd N,Albany,Albany,12205,42.7036,-73.8466,Public,"City of Albany, NY",1969,2021,Open,"9,692,956",2019,Yes,3.68,,1057-0,Operational,Project #1,1/1/1998,,Electricity,Reciprocating Engine,,1.9,1.9,1,0.0858,0.0100
1006276,985,Albany Landfill,NY,525 Rapp Rd N,Albany,Albany,12205,42.7036,-73.8466,Public,"City of Albany, NY",1969,2021,Open,"9,692,956",2019,Yes,3.68,,1057-1,Operational,"Project #1, Expansion #1",12/1/2008,,Electricity,Reciprocating Engine,,0.95,0.95,,0.0429,0.0050
1006276,985,Albany Landfill,NY,525 Rapp Rd N,Albany,Albany,12205,42.7036,-73.8466,Public,"City of Albany, NY",1969,2021,Open,"9,692,956",2019,Yes,3.68,,1057-2,Operational,"Project #1, Expansion #2",5/15/2013,,Electricity,Reciprocating Engine,,3.2,3.2,1.7,0.1446,0.0168
,997,Allegany County LF,NY,6006 County Road 48 (River Road),Angelica,Allegany,14709,42.2639,-78.0409,Public,"Allegany County D.P.W., NY",1987,2016,Closed,"360,199",,Yes,,,1069-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003034,1009,Auburn SLF #1 & #2,NY,311 N. Division Street,Auburn,Cayuga,13021,42.9528,-76.5872,Public,"City of Auburn, NY",1956,2020,Closed,"2,873,774",2019,Yes,0.265,0.265,1080-0,Shutdown,Project #1,4/1/2002,1/1/2009,Direct,Direct Thermal,,,,0.5,,
