GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,1306,"Adams Sanitation Company, Inc. Landfill",PA,355 Clouser Road,Hanover,Adams,17331,39.7265,-77.0365,Private,"Adams Sanitation Company, Inc.",1970,1993,Closed,"22,078,368",,No,,,1382-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007645,1254,Alliance SLF,PA,398 South Keyser Avenue,Taylor,Lackawanna,18517,41.398,-75.735,Private,"Waste Management, Inc.",1987,2064,Open,"23,575,187",2019,Yes,8.289,,1329-0,Shutdown,Project #1,1/1/1998,9/15/2003,Renewable Natural Gas,Other,Pipeline Injection,,,8.2,,
1007645,1254,Alliance SLF,PA,398 South Keyser Avenue,Taylor,Lackawanna,18517,41.398,-75.735,Private,"Waste Management, Inc.",1987,2064,Open,"23,575,187",2019,Yes,8.289,,167018-1,Operational,"Combination Project, Expansion #1",1/1/2010,,Electricity,Steam Turbine,,15.5,23.2,10.15,0.3501,0.0406
1007645,1254,Alliance SLF,PA,398 South Keyser Avenue,Taylor,Lackawanna,18517,41.398,-75.735,Private,"Waste Management, Inc.",1987,2064,Open,"23,575,187",2019,Yes,8.289,,180862-0,Operational,Project #2,1/31/2010,,Electricity,Gas Turbine,,4.39,9.2,2.47,0.1983,0.0230
1007645,1254,Alliance SLF,PA,398 South Keyser Avenue,Taylor,Lackawanna,18517,41.398,-75.735,Private,"Waste Management, Inc.",1987,2064,Open,"23,575,187",2019,Yes,8.289,,201478-0,Planned,Project #3,12/31/2021,,Unknown,Unknown,,,,,,
,1323,Amity LF Environmental & Recycling Services,PA,1100 Union Street,Taylor,Lackawanna,18517,41.39188,-75.72743,Private,Taylor Energy Partners,1973,1990,Closed,"3,000,000",1990,Yes,0.2,0.2,1399-0,Shutdown,Project #1,1/1/1988,1/1/2007,Electricity,Reciprocating Engine,,2,,0.7,,
1003456,1276,Arden LF,PA,200 Rangos Lane,Washington,Washington,15301,40.2083,-80.2647,Private,"Waste Management, Inc.",1977,2088,Open,"14,680,462",2019,Yes,2.708,0.09,1351-0,Operational,Project #1,1/30/2009,,Electricity,Reciprocating Engine,,3.75,4.8,,0.1694,0.0196
1003456,1276,Arden LF,PA,200 Rangos Lane,Washington,Washington,15301,40.2083,-80.2647,Private,"Waste Management, Inc.",1977,2088,Open,"14,680,462",2019,Yes,2.708,0.09,1351-1,Operational,"Project #1, Expansion #1",1/1/2015,,Electricity,Reciprocating Engine,,0.5,,,0.0226,0.0026
1003937,1293,Bethlehem Landfill,PA,2335 Applebutter Road,Bethlehem,Northampton,18015,40.625,-75.307,Private,"Waste Connections, Inc.",1960,2025,Open,"9,487,127",2019,Yes,4.017,4.017,1368-0,Shutdown,Project #1,11/1/2008,8/1/2019,Electricity,Gas Turbine,,2.17,5,1.88,,
1003937,1293,Bethlehem Landfill,PA,2335 Applebutter Road,Bethlehem,Northampton,18015,40.625,-75.307,Private,"Waste Connections, Inc.",1960,2025,Open,"9,487,127",2019,Yes,4.017,4.017,201006-0,Planned,Project #2,12/31/2022,,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,,,4.83,,
